Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Allegany;Maryland;US;26/07/2020 04:35;39.62357628;-78.69280486;252;18;0;234;Allegany, Maryland, US;357.8732106;7.142857143;
Allegany;New York;US;26/07/2020 04:35;42.25748406;-78.02750466;74;1;0;73;Allegany, New York, US;160.5519516;1.351351351;
Alleghany;North Carolina;US;26/07/2020 04:35;36.49360862;-81.12857041;61;0;0;61;Alleghany, North Carolina, US;547.7238035;0;
Alleghany;Virginia;US;26/07/2020 04:35;37.78636074;-80.00222498;56;2;0;54;Alleghany, Virginia, US;376.8506057;3.571428571;
Allegheny;Pennsylvania;US;26/07/2020 04:35;40.46809875;-79.98167747;7161;218;0;6943;Allegheny, Pennsylvania, US;588.876234;3.04426756;
Allen;Indiana;US;26/07/2020 04:35;41.09194313;-85.06800636;3307;151;0;3156;Allen, Indiana, US;871.8715314;4.566071969;
Allen;Kansas;US;26/07/2020 04:35;37.88582951;-95.30030847;11;0;0;11;Allen, Kansas, US;88.93200744;0;
Allen;Kentucky;US;26/07/2020 04:35;36.75197631;-86.19457544;210;8;0;202;Allen, Kentucky, US;985.2216749;3.80952381;
Allen;Louisiana;US;26/07/2020 04:35;30.65385745;-92.82442028;917;16;0;901;Allen, Louisiana, US;3578.257307;1.744820065;
Allen;Ohio;US;26/07/2020 04:35;40.77285242;-84.10802343;522;41;0;481;Allen, Ohio, US;510.0096726;7.85440613;
Allendale;South Carolina;US;26/07/2020 04:35;32.98837386;-81.35321066;139;3;0;136;Allendale, South Carolina, US;1599.907919;2.158273381;
Alpena;Michigan;US;26/07/2020 04:35;45.03477666;-83.62212411;125;13;0;112;Alpena, Michigan, US;440.0633691;10.4;
Alpine;California;US;26/07/2020 04:35;38.59678594;-119.8223594;2;0;0;2;Alpine, California, US;177.1479185;0;CA
Amador;California;US;26/07/2020 04:35;38.44583082;-120.65696;71;0;0;71;Amador, California, US;178.6073657;0;CA
Amelia;Virginia;US;26/07/2020 04:35;37.34081025;-77.98584649;65;1;0;64;Amelia, Virginia, US;494.4845949;1.538461538;
Amherst;Virginia;US;26/07/2020 04:35;37.60308293;-79.14548696;76;0;0;76;Amherst, Virginia, US;240.4682803;0;
Amite;Mississippi;US;26/07/2020 04:35;31.17467303;-90.80501621;172;4;0;168;Amite, Mississippi, US;1398.715134;2.325581395;
Anasco;Puerto Rico;US;26/07/2020 04:35;18.287985;-67.120611;99;0;0;99;Anasco, Puerto Rico, US;338.3343016;0;
Anchorage;Alaska;US;26/07/2020 04:35;61.14998174;-149.1426986;1180;9;0;1171;Anchorage, Alaska, US;409.7222222;0.762711864;
Anderson;Kansas;US;26/07/2020 04:35;38.21413251;-95.29272815;25;0;0;25;Anderson, Kansas, US;318.1471112;0;
Anderson;Kentucky;US;26/07/2020 04:35;38.00671029;-84.99171713;47;1;0;46;Anderson, Kentucky, US;206.6206533;2.127659574;
Anderson;South Carolina;US;26/07/2020 04:35;34.51828081;-82.63959517;1658;35;0;1623;Anderson, South Carolina, US;818.5309887;2.110977081;
Anderson;Tennessee;US;26/07/2020 04:35;36.12684348;-84.19965764;396;4;0;392;Anderson, Tennessee, US;514.4326951;1.01010101;
Anderson;Texas;US;26/07/2020 04:35;31.81534745;-95.65354823;2140;4;0;2136;Anderson, Texas, US;3706.590456;0.186915888;
Andrew;Missouri;US;26/07/2020 04:35;39.98492163;-94.80163024;73;1;0;72;Andrew, Missouri, US;412.1499548;1.369863014;
