Cod_IBGE;Grande regiao;Municipio;Mun_Total de casos;Mun_Total de obitos
3541505;Interior;Presidente Venceslau;214;11
3541604;Interior;Promissão;689;5
3541653;Interior;Quadra;5;0
3541703;Interior;Quatá;51;2
3541802;Interior;Queiroz;21;2
3541901;Interior;Queluz;115;0
3542008;Interior;Quintana;13;0
3542107;Interior;Rafard;102;1
3542206;Interior;Rancharia;178;3
3542305;Interior;Redenção da Serra;11;0
3542404;Interior;Regente Feijó;40;0
3542503;Interior;Reginópolis;15;1
3542602;Interior;Registro;792;14
3542701;Interior;Restinga;5;0
3542800;Interior;Ribeira;19;0
3542909;Interior;Ribeirão Bonito;50;0
3543006;Interior;Ribeirão Branco;93;2
3543204;Interior;Ribeirão do Sul;12;0
3543238;Interior;Ribeirão dos Índios;12;2
3543253;Interior;Ribeirão Grande;62;1
3543303;RMSP (exceto capital);Ribeirão Pires;816;47
3543402;Interior;Ribeirão Preto;10634;362
3543501;Interior;Riversul;11;1
3543600;Interior;Rifaina;7;1
3543709;Interior;Rincão;51;2
3543808;Interior;Rinópolis;21;0
3543907;Interior;Rio Claro;2184;73
3544004;Interior;Rio das Pedras;330;14
3544103;RMSP (exceto capital);Rio Grande da Serra;410;15
3544202;Interior;Riolândia;104;0
3544251;Interior;Rosana;47;0
3544301;Interior;Roseira;42;2
3544400;Interior;Rubiácea;31;0
3544509;Interior;Rubinéia;40;0
3544608;Interior;Sabino;25;1
3544707;Interior;Sagres;3;0
3544806;Interior;Sales;27;2
3544905;Interior;Sales Oliveira;137;1
3545001;RMSP (exceto capital);Salesópolis;91;7
3545100;Interior;Salmourão;8;0
3545159;Interior;Saltinho;72;2
3545209;Interior;Salto;890;26
3545308;Interior;Salto de Pirapora;391;8
3545407;Interior;Salto Grande;25;1
3545506;Interior;Sandovalina;14;0
3545605;Interior;Santa Adélia;109;1
3545704;Interior;Santa Albertina;47;0
3545803;Interior;Santa Bárbara d'Oeste;2010;61
3546009;Interior;Santa Branca;100;3
3546108;Interior;Santa Clara d'Oeste;17;1
3546207;Interior;Santa Cruz da Conceição;57;0
3546256;Interior;Santa Cruz da Esperança;8;1
3546306;Interior;Santa Cruz das Palmeiras;794;8
3546405;Interior;Santa Cruz do Rio Pardo;487;4
3546504;Interior;Santa Ernestina;68;0
3546603;Interior;Santa Fé do Sul;384;17
3546702;Interior;Santa Gertrudes;353;5
3546801;RMSP (exceto capital);Santa Isabel;613;51
3546900;Interior;Santa Lúcia;19;1
3547007;Interior;Santa Maria da Serra;70;0
3547205;Interior;Santana da Ponte Pensa;7;0
3547304;RMSP (exceto capital);Santana de Parnaíba;1718;67
3547403;Interior;Santa Rita d'Oeste;5;0
3547502;Interior;Santa Rita do Passa Quatro;97;2
3547601;Interior;Santa Rosa de Viterbo;91;1
3547650;Interior;Santa Salete;36;1
3547700;Interior;Santo Anastácio;55;7
3547809;RMSP (exceto capital);Santo André;10707;381
3547908;Interior;Santo Antônio da Alegria;11;2
3548005;Interior;Santo Antônio de Posse;102;2
3548054;Interior;Santo Antônio do Aracanguá;115;5
3548104;Interior;Santo Antônio do Jardim;30;2
3548203;Interior;Santo Antônio do Pinhal;30;2
3548302;Interior;Santo Expedito;8;0
3548401;Interior;Santópolis do Aguapeí;28;1
3548500;Interior;Santos;15142;464
3548609;Interior;São Bento do Sapucaí;34;0
3548708;RMSP (exceto capital);São Bernardo do Campo;15570;619
3548807;RMSP (exceto capital);São Caetano do Sul;2750;132
3548906;Interior;São Carlos;1275;21
3549003;Interior;São Francisco;13;0
3549102;Interior;São João da Boa Vista;173;7
3549201;Interior;São João das Duas Pontes;51;1
3549250;Interior;São João de Iracema;23;0
3549300;Interior;São João do Pau d'Alho;1;0
3549409;Interior;São Joaquim da Barra;382;9
3549508;Interior;São José da Bela Vista;22;3
3549706;Interior;São José do Rio Pardo;112;7
3549805;Interior;São José do Rio Preto;8654;236
3549904;Interior;São José dos Campos;6623;195
3549953;RMSP (exceto capital);São Lourenço da Serra;103;5
3550001;Interior;São Luiz do Paraitinga;12;4
3550100;Interior;São Manuel;157;5
3550209;Interior;São Miguel Arcanjo;181;6
3550308;Capital;São Paulo;193684;9470
3550407;Interior;São Pedro;221;6
3550506;Interior;São Pedro do Turvo;87;0
3550605;Interior;São Roque;380;16
3550704;Interior;São Sebastião;848;14
3550803;Interior;São Sebastião da Grama;83;1
3550902;Interior;São Simão;62;2
3551009;Interior;São Vicente;4552;278
3551108;Interior;Sarapuí;8;0
3551207;Interior;Sarutaiá;40;1
3551306;Interior;Sebastianópolis do Sul;29;0
3551405;Interior;Serra Azul;57;2
3551504;Interior;Serrana;469;21
3551603;Interior;Serra Negra;69;0
3551702;Interior;Sertãozinho;2270;44
3551801;Interior;Sete Barras;84;3
3551900;Interior;Severínia;96;0
3552007;Interior;Silveiras;26;0
3552106;Interior;Socorro;154;5
3552205;Interior;Sorocaba;9384;244
3552304;Interior;Sud Mennucci;56;0
3552403;Interior;Sumaré;3508;80
3552502;RMSP (exceto capital);Suzano;2534;164
3552551;Interior;Suzanápolis;26;0
3552601;Interior;Tabapuã;199;11
3552700;Interior;Tabatinga;86;2
3552809;RMSP (exceto capital);Taboão da Serra;3858;181
3552908;Interior;Taciba;23;2
3553005;Interior;Taguaí;42;1
3553104;Interior;Taiaçu;47;0
3553203;Interior;Taiúva;33;1
3553302;Interior;Tambaú;125;6
3553401;Interior;Tanabi;538;13
3553500;Interior;Tapiraí;93;0
3553609;Interior;Tapiratiba;57;0
3553658;Interior;Taquaral;26;1
3553708;Interior;Taquaritinga;173;3
3553807;Interior;Taquarituba;61;1
3553856;Interior;Taquarivaí;11;0
3553906;Interior;Tarabai;31;2
3553955;Interior;Tarumã;49;1
3554003;Interior;Tatuí;914;36
3554102;Interior;Taubaté;1444;54
3554201;Interior;Tejupá;11;0
3554300;Interior;Teodoro Sampaio;81;2
3554409;Interior;Terra Roxa;138;3
3554508;Interior;Tietê;252;6
3554607;Interior;Timburi;6;0
3554656;Interior;Torre de Pedra;9;2
3554706;Interior;Torrinha;102;4
3554755;Interior;Trabiju;11;0
3554805;Interior;Tremembé;97;0
3554904;Interior;Três Fronteiras;108;3
3554953;Interior;Tuiuti;25;0
3555000;Interior;Tupã;260;17
3555109;Interior;Tupi Paulista;75;1
3555208;Interior;Turiúba;16;1
3555307;Interior;Turmalina;6;0
3555356;Interior;Ubarana;90;0
3555406;Interior;Ubatuba;490;20
3555505;Interior;Ubirajara;58;1
3555604;Interior;Uchoa;150;8
3555703;Interior;União Paulista;17;0
3555802;Interior;Urânia;134;6
3555901;Interior;Uru;5;1
3556008;Interior;Urupês;42;4
3556107;Interior;Valentim Gentil;202;1
3556206;Interior;Valinhos;1428;45
3556305;Interior;Valparaíso;192;6
3556354;Interior;Vargem;37;1
3556404;Interior;Vargem Grande do Sul;133;0
3556453;RMSP (exceto capital);Vargem Grande Paulista;294;17
3556503;Interior;Várzea Paulista;939;52
3556602;Interior;Vera Cruz;7;1
3556701;Interior;Vinhedo;950;17
3556800;Interior;Viradouro;125;5
3556909;Interior;Vista Alegre do Alto;96;2
3556958;Interior;Vitória Brasil;15;0
3557006;Interior;Votorantim;1269;50
3557105;Interior;Votuporanga;1525;35
3557154;Interior;Zacarias;43;0
3557204;Interior;Chavantes;28;1
3557303;Interior;Estiva Gerbi;107;4
9999999;;Ignorado;103;0
